,word,x,y
130,came,-0.3925464451313019,-0.23537302017211914
131,brother,0.9375167489051819,-0.5116716623306274
132,again,-0.4892706274986267,-0.7205823659896851
133,other,-0.042305026203393936,-0.3909868001937866
134,little,-0.16022150218486786,-0.7694845795631409
135,good,0.15539845824241638,-1.0760829448699951
136,say,0.38601770997047424,-1.3132754564285278
137,away,-0.6644962430000305,-0.7659748196601868
138,son,1.599217176437378,-0.01956401951611042
139,own,0.18872696161270142,-0.6213415861129761
140,My,0.7335041761398315,-1.0393069982528687
141,should,0.512934148311615,-1.128774881362915
142,dead,-0.021706413477659225,-0.5100826025009155
143,There,-0.1987255960702896,-0.5855684876441956
144,Your,0.6205056309700012,-1.1088051795959473
145,two,-0.11492127925157547,-0.020865892991423607
146,am,0.8152607679367065,-1.0406454801559448
147,once,0.13334497809410095,-0.4419490098953247
148,then,-0.5219724178314209,-0.6889259219169617
149,What,0.4044860601425171,-1.1542037725448608
150,red,-0.8172315359115601,0.2792919874191284
151,though,-0.07862576842308044,-0.7864145040512085
152,queen,0.4635811448097229,-0.8193100094795227
153,saw,-0.5657879710197449,-0.41981104016304016
154,Arya,-0.3658759295940399,-0.8726890683174133
155,blood,-0.48043981194496155,-0.4106462597846985
156,make,0.11335823684930801,-1.0338287353515625
157,day,-0.03114921972155571,-0.6911785006523132
158,himself,0.10547112673521042,-0.5701398253440857
159,Jaime,0.03748949244618416,-0.7802444696426392
160,half,-0.4160439968109131,-0.2576736807823181
161,night,-0.42246827483177185,-0.672382116317749
162,take,0.32926300168037415,-1.064225196838379
163,want,0.22604809701442719,-1.3410601615905762
164,much,0.1448950618505478,-1.0838605165481567
165,girl,0.43752604722976685,-0.44377434253692627
166,go,-0.03266455605626106,-1.0752184391021729
167,three,0.1417202353477478,0.14275480806827545
168,looked,-0.3490968942642212,-0.4186622202396393
169,Bran,-0.46432968974113464,-0.9299469590187073
170,called,1.3687047958374023,0.6516361236572266
171,enough,-0.14590542018413544,-1.0388158559799194
172,how,0.17530721426010132,-1.1753586530685425
173,knew,0.01973322220146656,-1.001039981842041
174,asked,0.5016012191772461,-1.1385233402252197
175,sword,-0.41485974192619324,-0.5789380073547363
176,gave,-0.08262605220079422,-0.666437566280365
177,heard,-0.15630532801151276,-0.7890923619270325
178,But,0.1312130242586136,-0.9652062654495239
179,left,-0.4148764908313751,-0.44286277890205383
180,look,-0.15662597119808197,-0.8185977339744568
181,its,-0.7604327201843262,0.34466978907585144
182,went,-0.5210989117622375,-0.4082659184932709
183,turned,-0.4399198591709137,-0.41520822048187256
184,Sansa,0.04653982073068619,-0.9146900773048401
185,Dany,-0.32247328758239746,-0.6629126071929932
186,m,1.0272091627120972,-0.4256845712661743
187,need,0.13152816891670227,-1.1961095333099365
188,our,0.5143468379974365,-0.9260082244873047
189,Lady,1.0601664781570435,-0.31575343012809753
190,first,0.16113872826099396,-0.5191794633865356
191,white,-0.8599035739898682,0.37490344047546387
192,around,-1.1464954614639282,0.028899746015667915
193,woman,0.029384752735495567,-0.4680391252040863
194,found,-0.3866487741470337,-0.4376205503940582
195,Her,-0.09263256192207336,-0.4260738790035248
196,after,0.0882515236735344,-0.602653443813324
197,behind,-0.7550040483474731,-0.1161719411611557
198,across,-1.0321499109268188,0.12491269409656525
199,gold,-0.2551920413970947,-0.06157615780830383
200,Cersei,0.32024887204170227,-0.8675084710121155
201,Grace,0.6872804760932922,-1.0760847330093384
202,every,-0.4047240614891052,-0.4461650252342224
203,feet,-0.9809694290161133,-0.030986545607447624
204,Stark,0.6326749920845032,-0.7402122020721436
205,hair,-0.8828348517417908,0.011561187915503979
206,beneath,-0.9896999001502991,0.26822784543037415
207,think,0.27588173747062683,-1.4327771663665771
208,against,-0.5887665152549744,-0.25281137228012085
209,Stannis,0.5979375839233398,-0.7380015850067139
210,great,-0.15779295563697815,0.18515312671661377
